id,target,s_label,source,t_label
38,my daughter and i love this restaurant with both of our guests .,0,we 've sent enough guests there who have returned absolutely livid with this restaurant .,1
39,they have always been friendly and helpful in their customer service department !,0,always rude in their tone and always have shitty customer service !,1
40,the customer service is great and they really need to help their jobs .,0,they really need to work on their customer service and general attitude .,1
41,i went back to the beer and enjoyed the food .,0,i skipped eating and we went back to the beer .,1
42,the chicken was very tasty and the sauce was `` tasty '' .,0,my `` hot '' sub was cold and the meat was watery .,1
43,this place reminds me to the phoenix location ... i love it .,0,when i first came to phx ... yes this sounded indian to me .,1
44,they have a great selection of sushi in scottsdale .,0,you wo n't find a better selection in scottsdale .,1
45,i asked for a sweet tea and a good hot sauce .,0,i asked for thai hot and received very little spice .,1
46,i was very impressed after the night after night .,0,i was very sick the night after .,1
47,"overall , i left feeling very satisfied and satisfied .",0,"i left hungry and unsatisfied , never again .",1
48,i just left this car wash and was very satisfied with my car !,0,i just left this car wash and was very unsatisfied !,1
49,"we ordered the `` italian '' meal , and we 'll definitely be back .",0,"had one mediocre meal and said , `` we 'll try again '' .",1
50,"the food is great , the service is the best i 've ever had .",0,"the food 's ok , the service is among the worst i have encountered .",1
51,i was looking forward to my wedding dress here for a wedding reception .,0,this was my first stop in looking for a wedding dress .,1
52,you can tell he loves it to me .,0,then he proceeded to tell me how to fix it .,1
53,i will continue to support this practice !,0,do not go to this practice they are horrible !,1
54,i was happy that we were asking for the price they did .,0,i guess she was n't happy that we were asking the prices .,1
55,the only saving grace was the beans are delicious .,0,the only saving grace was the black beans .,1
56,what a great time !,0,lost a long time customer !,1
57,"the food is pretty good , the food is delicious .",0,"other than that , food here is pretty gross .",1
58,the guy behind the counter was very nice and knew everything about their product .,0,i was also curious about another product but he straight up walked off .,1
59,i 'm really impressed by this place .,0,so far i 'm not really impressed .,1
60,the only plus for the two is the new windows .,0,my groupon is only for the two windows .,1
61,"this is my favorite place to shop , & they are reasonably priced .",0,"safeway has officially lost my business to sprouts , & fresh & easy .",1
62,"the food was pretty good , i would go there again .",0,"the food was pretty bad , i would not go there again .",1
63,i will definitely be using this location again .,0,we will not be using this location again .,1
64,this is a great venue .,0,this is a horrible venue .,1
65,i enjoyed the appetite where i took my appetite .,0,you 'll have zero appetite after the first bite .,1
66,if you want to go here this is for you .,0,do n't go here unless you want to pay for crap .,1
67,the best part is that it may be in stock .,0,but it may not actually be in stock anyway .,1
68,the owner is a very nice man .,0,owner : a very rude man .,1
69,this place is a great place to live !,0,this place is a terrible place to live !,1
70,great coffee shop next door for being open by the front door .,0,stopped by for soda after being at the hobby shop next door .,1
71,the crab puffs were really good and the dish was even better .,0,my dish was pretty salty and could barely taste the garlic crab .,1
72,they also put some pieces of chicken in the side of the box .,0,it looks like blended up chicken put into the shape of grilled pieces .,1
73,i love the time i 'm here .,0,what about the time i wasted ?,1
74,there are better choices around and around for happy hour !,0,there are better happy hours and better beers all around mill !,1
75,the food is good and the prices are not that great either .,0,the rooms are not that nice and the food is not that good either .,1
76,the staff is very nice even if you walk by .,0,executive chefs would walk by not even saying good morning .,1
77,this was my favorite indian restaurant in charlotte .,0,this spot was my favorite indian restaurant .,1
78,great sauce with real sauce .,0,not even real brown sauce .,1
79,i will continue to play golf course with a group of course as well .,0,i will not revisit this course as a visitor with limited time to play .,1
80,i was very impressed with what we arrived .,0,but was very disappointed with what actually arrived .,1
81,they offer a free dessert and offer a good amount of dessert .,0,his offer of a `` free dessert '' was even more atrocious .,1
82,i was so impressed that i ate the rest of the day .,0,i was so disgusted i could not way for the rest of the day .,1
83,"the salads are great , nothing special .",0,"the salads are ok , nothing special .",1
84,it was a nice evening .,0,overall it was a miserable evening .,1
85,she did a perfect job .,0,the woman did n't even apologize .,1
86,"the service was quick and friendly , and it seems to be busy .",0,"i expected service to be slow that morning , and it was .",1
87,very impressed with his work .,0,zero complaints with his work .,1
88,the bread was fresh and tasty .,0,the garlic bread was bland and cold .,1
89,the hot fudge was way too sweet .,0,the espresso was way too hot .,1
90,i love this place and will be back when i walk out .,0,i know i should have sent this back and walk out .,1
91,thank you though !,0,they wo n't tell you though .,1
92,i love the food here ... the service is great .,0,i love the food ... however service here is horrible .,1
93,the mattress itself is so good .,0,gammage itself however is not so amazing .,1
94,"needless to say , i will definitely be back for authentic mexican food .",0,needless to say i will not be back for mexican food .,1
95,i will definitely be ordering again .,0,i wo n't be ordering again .,1
96,"in my opinion , this is what it 's for me on site .",0,"let me give my opinion , that 's what this site is for .",1
97,they did a great job or anything .,0,she did not apologize or anything .,1
98,the prices are just as good .,0,prices are just plain retail .,1
99,i was pleasantly surprised with the quality of this place .,0,but this place was not economical so the expectation was different .,1
100,i like the black oil and it 's amazing .,0,it smelled and tasted like yesterday 's oil .,1
101,"you have been warned , it 's really good .",0,"who knows , it might have been .",1
102,the tomato soup is the best .,0,the beer sauce is lackluster at best .,1
103,the building itself is beautiful .,0,the building itself looks abandoned .,1
104,i 've tried the blueberry pancakes as well .,0,we 've tried the cream pancakes as well .,1
105,best experience i 've ever had at a restaurant !,0,i 've never had a worse experience than this !,1
106,"overall , i 'm a fan at this club .",0,"no , i 'm not at a scottsdale club .",1
107,if i could give this place _num_ stars i would .,0,if i could give zero stars i def would .,1
108,"i 'm really pissed off , and i 'm really satisfied .",0,"only now i 'm really hungry , and really pissed off .",1
109,"great call , no call , nothing special .",0,"no call , no nothing .",1
110,i wish i could give more than one star .,0,i wish i could give less than one star .,1
111,the wonton soup was super tasty .,0,the wonton was seriously lacking filling .,1
112,"if i could give it less stars , i would .",0,"if i could give less stars , i would .",1
113,i would recommend it to everyone and everyone .,0,she could not and would not explain herself .,1
114,this is a place where i love this place .,0,think twice -- this place is a dump .,1
115,the flour tortillas are one of the best i 'm in .,0,i 'm not one of the corn people .,1
116,it 's always clean and the restaurant is very clean .,0,it 's always busy and the restaurant is very dirty .,1
117,"i mean , i love this place , even when i lived in .",0,"even if i was insanely drunk , i could n't force this pizza down .",1
118,"this is the best <UNK> <UNK> i have been to , for years .",0,"as an arizona native , i have been going to the improv for years .",1
119,"i got my color quickly , and he was pretty nice and chatty .",0,"i got there , was seated pretty quickly , and then chose my color .",1
120,"he was great with my dogs , and no need to help me .",0,"so , no treatment and no medication to help me deal with my condition .",1
121,the service at this location was great .,0,at this location the service was terrible .,1
122,i will definitely go back and recommend to my friends .,0,so who do i call to get my money back .,1
123,i had the tuna melt that was so fresh and kind of taste .,0,overcooked so badly that it was the consistency of canned tuna fish .,1
124,i 'm a big foodie in charlotte and i found this place .,0,i 'm stuck in a lease otherwise i would move .,1
125,it was a nice little place to begin with .,0,service was a little slow to begin with .,1
126,they did an excellent cup of coffee with a cup of hot water .,0,only then did our waitress show up with another styrofoam cup full of water .,1
127,the food is very good and reasonably priced for what you get .,0,the food was so-so and very over priced for what you get .,1
128,i have been here multiple times and they always remember what 's wrong .,0,i hate to see what their delivery times are when it 's last call .,1
129,i went to the rear tire and get a great deal .,0,just went back to get the rear tire sealed and filled .,1
130,i love this place so much as a ny style deli .,0,i expected so much better from this ny staple .,1
131,"i called back to a message , and they always leave me happy .",0,"i had to leave a message , and they never called me back .",1
132,this is the best mexican food you can buy in the city .,0,the food is worse than you find in the freezer section at walmart .,1
133,i tried to come back to get a real deal but i love it .,0,they tried real hard to get me to come back but i refused .,1
134,the security guard and security hit us with a smile on our door .,0,the security guard comes upstairs and pounds on our door demanding we open up .,1
135,i wanted to like this place but it was a big treat .,0,i wanted to like this place but it just became a big disappointment .,1
136,the service is great and you can tell you what we are receiving .,0,i did n't know worker there can get tips from customer .,1
137,the way over priced is the best way .,0,and the cleaning is way over priced .,1
138,they make a great name for a new regular car wash .,0,they make a bad name for used car dealers .,1
139,"overall , i was very impressed when i was there .",0,"when i was finally there , i was very disappointed .",1
140,it 's like a home cooked home of a patty .,0,just a frozen patty cooked like a home one .,1
141,i 'm sure i will be going back more often .,0,so sad but i am not going back any more .,1
142,this is one of the best market restaurants in the market .,0,this is the worst walmart neighborhood market out of any of them .,1
143,the new management team is awesome !,0,the new management team is horrible !,1
144,they 're great if you 're n't ordering anything .,0,just do n't bother ordering anything if you 're seated .,1
145,the food is very good and they have a variety of deli .,0,they also have lost sight of what good deli food is .,1
146,the evening started out pretty fast .,0,the evening started out slow .,1
147,"oh yeah , i 'm pretty happy with the `` theme '' .",0,"i replied , '' um ... no i 'm cool .",1
148,the bed was awesome !,0,the queen bed was horrible !,1
149,i 'm always happy for an answer .,0,meanwhile i 'm waiting for an answer .,1
150,"if you have a choice , i highly recommend .",0,"oh , i should not have asked .",1
151,it 's a beautiful mix of people watching the booth in the evenings .,0,my toddler found a dead mouse under one of the seats .,1
152,this place is just ok .,0,this place is just ok .,1
153,needless to say i was very impressed .,0,i have to say i was truly disappointed .,1
154,this is the reason i will go back for sure .,0,this is the reason i will never go back .,1
155,"the pizza is delicious , along with the menu on the menu .",0,"furthermore , there is no sausage or bacon on the menu .",1
156,the manager was super friendly and showed up the phone !,0,when the manager finally showed up he was rude and dismissive !,1
157,the whole team at this location is fantastic to me .,0,the office also failed to even apologize about this whole horrific experience .,1
158,"great way , way way better .",0,"nope , way way worse .",1
159,the customer service and bartenders are always friendly .,0,there are no smiles and no customer service .,1
160,"she worked on her face , and she did it up with me .",0,"when she did n't answer him quickly enough , he hung up on her .",1
161,the fried chicken was a huge mix of rice and it was cooked perfectly .,0,the fried rice was gross and there was a shit load of it .,1
162,"if you are in the area , this is a great little stadium .",0,"if your patio is south facing , you 're out of luck .",1
163,they know how to start the computer and does the work .,0,plus the dude did n't even know how to work the computer .,1
164,this is a local business and a good recommendation for my business .,0,overall : lost my business and recommendation for a good local camera place .,1
165,"i asked if i was joking , she was so sweet .",0,"it was so odd , i asked her if she was joking ?",1
166,"the food was good , and the service was very good as well .",0,"the food was mediocre at best , far too greasy and not cooked well .",1
167,"i had the ribs ( frozen ) , and still delicious .",0,"food was cold ( still frozen ) , i had the ribs .",1
168,"friendly , efficient , no biggie .",0,"was n't busy , no biggie .",1
169,the outdoor seating area is great for the small area .,0,the bathroom area is nothing special .,1
170,i also got a non-smoking room that reeked of smoke !,0,this room that he found also reeked of smoke !,1
171,"the food is great , the service is even better with the wine standards .",0,"also , the food that is there is n't great even by buffet standards .",1
172,i 'll bring my business here .,0,so i brought my business elsewhere .,1
173,thank you for hiring my guitar device ( he 's great ) .,0,exhibit c : no more student services peeps .,1
174,this is my new favorite italian restaurant .,0,so disappointing from an old favorite .,1
175,went there on a saturday night because it was a nice time .,0,it shows because on a saturday night there was n't a long wait .,1
176,the sauce had way too much sauce in it 's perfect sauce .,0,tzatziki sauce had way too much dill in it .,1
177,the texture of the meat tasted fresh and tasted just right .,0,the texture of the meat just looked and tasted wrong .,1
178,i will definitely visit this salon again .,0,i will never visit the salon again .,1
179,this is one star because you have to provide a good rating .,0,they only received one star because you have to provide a rating .,1
180,i would definitely go back there again .,0,i would n't go back there again .,1
181,he was by far the best person i 've encountered .,0,this was by far the rudest person i spoke with .,1
182,the food is good and the service of the employees are friendly and helpful .,0,the rest of their food is edible but their employees and service are horrible .,1
183,"i had the food , it was great .",0,"as for the food , never had it .",1
184,"i love the owner , she is great to talk about .",0,"however , the tech said nothing to me about this .",1
185,i 'm a huge fan of sushi and this is the quintessential priced area .,0,i 'm from the bay area and this was a disappointment and over priced .,1
186,i ordered the teriyaki chicken bento box and i love the bento box .,0,my mom ordered the teriyaki chicken bento box and i ordered the sashimi box .,1
187,i ordered the fettuccine alfredo with garlic sauce and garlic bread .,0,i ordered garlic bread and fettuccine alfredo pasta with vegetables .,1
188,the cook that cook your cook are cook to perfection !,0,it does not take that long to cook sliders !,1
189,the sandwich was a good sandwich .,0,the sandwich was not that great .,1
190,she did a nice job on her face .,0,the man did not stop her .,1
191,we were able to go back ... he did an amazing job .,0,um ... we just told him that we did n't want to finance .,1
192,"i really like it , i believe it .",0,"tasted really old , i could n't believe it .",1
193,the food is also quite good for my taste .,0,it is also quite expensive for my taste .,1
194,i have enjoyed the menu as well as the food menu .,0,food was alright maybe we should have ordered off the mexican menu .,1
195,"i ordered the quiche , which was rich , but very good .",0,"lastly but not least , their brownie desert was ... meh .",1
196,i love that this restaurant has a passion class .,0,it shows that this restaurant has no class .,1
197,they also do an amazing job of repairing things to come .,0,one broken thing after another they do n't care to address .,1
198,i 've been to this restaurant many times a long time .,0,we 've been to this long established restaurant many times .,1
199,the portion size was good for the size of the size and bacon .,0,my plate looked nearly half empty except for the small container of cole slaw .,1
200,"when i arrived at the front desk , the one was wonderful .",0,"when i arrived , no one was at the desk .",1
201,we got our _num_ minutes and we got it up and left .,0,we gave it another 5-10 minutes before we got up and left .,1
202,"the ice cream was very good , and the mill of the mill .",0,"even the ice cream was very , very run of the mill .",1
203,i have been to scott 's for years and their food is always good .,0,wendy 's has been know to be cheap with their drink refills for years .,1
204,my husband and i love it as well as they delivered .,0,as soon as they delivered i was like ugh .,1
205,the restaurant is clean and the service is just average .,0,the service is mediocre and the restaurant is just average .,1
206,this is one of my favorite places that i have .,0,but i darn sure could have cooked this one .,1
207,all i can say is wow .,0,just terrible is all i can say .,1
208,they also have a local fountain machine machine on tap .,0,did they not have a fountain machine on site ?,1
209,the egg rolls are crunchy and my feet are like heaven .,0,his egg sandwiches stink like feet and are slimy .,1
210,"great place to go , and try cheesecake .",0,"stay away , and go to cheesecake instead .",1
211,"i love this place , because of being there in awhile .",0,"we stood there in shock , because we never expected this .",1
212,"i 've eaten here many times , as well as the food is good .",0,"i 've eaten here many times , but none as bad as last night .",1
213,it 's always worth the wait if you are in the way too long .,0,always takes way too long even if you 're the only one there .,1
214,"i was so impressed with their work , they were done .",0,"however , everyone else paid after their nails were completed .",1
215,"it was one of my favorites , and the eggs benedict was delicious .",0,"so , that was my one and only time ordering the benedict there .",1
216,"i really enjoy this place , so i do n't enjoy the atmosphere .",0,"overall , i do n't enjoy the place very much .",1
217,"the employees were very friendly , and the manager did n't seem any bit .",0,"one of the employees apologized , but it did n't seem very sincere .",1
218,this is a decent deal when you get in their parking lot .,0,there is a reason they can get you in fairly quickly .,1
219,great option for an option .,0,is zero stars an option ?,1
220,"i love the staff , they run the place for me .",0,"in the long run , they did absolutely nothing for me .",1
221,i was blown away today with the awesome reviews at this place .,0,but let this story begin at noon today .,1
222,"i have always had good experiences here , though .",0,"seriously though , i have never shopped here .",1
223,this is the best place in the valley .,0,it is the absolute worse place in the valley .,1
224,the inventory was also very competitive !,0,but their inventory was questionable !,1
225,the fried chicken was very good and the mac and cheese was great .,0,chicken fried chicken was dry but the green chili macaroni and cheese was good .,1
226,you can also ask for a sweet bloody mary .,0,so he can charge a bloody fortune for them .,1
227,they 're always something sweet or something special .,0,were we irritating her or something ?,1
228,this place has the best time for me .,0,this place has pissed me off for the last time .,1
229,the people who work here are a good sign .,0,do not sign a lease with these people .,1
230,worth the trip .,0,do n't waste the trip .,1
231,i also ordered one of my favorite entree too .,0,had to returned one entree because too cold .,1
232,the restroom was a nice touch .,0,the restroom was a mess .,1
233,it 's my experience that i have ever been !,0,i mean that 's been my experience !,1
234,"the beef taco special was really good , nothing special .",0,the beef taco was good but nothing special .,1
235,i love the way i would choose from a gas station .,0,either way i would never recommend buying from camping world .,1
236,great place to sit down and order my order for lunch .,0,i went to sit down and wait for my order .,1
237,the park is also very clean .,0,its also not a very clean park .,1
238,i tried to call them with their response .,0,i tried to call repeatedly with no response .,1
239,"they are honest , reliable , and charged me for work done .",0,"they charged me for work not done , and parts not installed .",1
240,the interior looks old and outdated .,0,it looks old and outdated .,1
241,they did a great job on my phone .,0,he did not return my call either .,1
242,do yourself a favor and stay at this hotel a lot .,0,if you travel a lot do not stay at this hotel .,1
243,the food is delicious and it would have been more hot than hot .,0,i would rather wait for hot food than have it cold and soggy .,1
244,the food here is pretty good and fresh .,0,the food here is bland and boring and bad .,1
245,this is one of the best on the ball .,0,this one is not on the ball .,1
246,"the best thing i have had in the valley , with extra sauce .",0,"for the record i am a good cook , i use seasoning !",1
247,the warranty is an excellent job with a nice warranty .,0,the tow package is not an issue either .,1
248,"i have to say , this is a very good time to visit .",0,"very crowded , difficult to have a chance to actually have a good time .",1
249,"other than that , it 's a great way to run employees .",0,i think it 's terrible when employees act that way .,1
250,i 'll definitely be going back to this salon for a nail salon .,0,i 'll keep looking for a different salon .,1
251,i can tell you to shop here !,0,you can not pay me to ever shop here !,1
252,"the french toast was good , but the eggs and toast were delicious .",0,"french toast plate was good , mom said , but eggs were cold .",1
253,"the food is average , but the service is above average .",0,"now the food : not horrible , but below average .",1
254,this is easily the best greek food i 've had in my life .,0,this is easily the worst greek food i 've had in my life .,1
255,this place is what makes you want to eat .,0,no stars is what in want to give .,1
256,i sent it back and we 'll be back .,0,when it came we should have sent it back .,1
257,the equipment is old and the equipment is so clean .,0,the equipment is so old and looks dirty .,1
258,i 'm definitely willing to take the chance to help .,0,i 'm not willing to take the chance .,1
259,this place has some really cool acts for acts like urine .,0,this place smelt like old urine for some reason .,1
260,they deliver over deliver and they deliver .,0,bottom line they over promise and under deliver .,1
261,i dont know what i love about it- so good .,0,i dont know why i was expecting anything different .,1
262,i love that about this place .,0,nothing that special about this place .,1
263,it 's worth every penny on occasion .,0,razz 's failed on every occasion .,1
264,the knowledge of the staff at this location is wonderful .,0,management no longer cares about the golf experience .,1
265,this is one of the best hotels i 've had in the entire area .,0,"20-30 % capacity at most , i was the only one in the pool .",1
266,i had the chow mein and chow mein was very good .,0,the chow mein was very mushy and had weird texture .,1
267,this place is pretty close to the strip mall though .,0,found the place even though it is hard due to bad signage .,1
268,great job and i do n't care !,0,not sure and i do n't care !,1
269,one of my favorite places i will get in my life .,0,two hours of my life i can never get back .,1
270,my favorite pair of shoes and black shoes are my new favs .,0,dropped off my red purse and three pair of black shoes .,1
271,i love this place and stay away from this place .,0,very disappointed and would stay clear of this place .,1
272,"great service , long waits between courses , long waits , good food .",0,"service fair , pace was bad between courses - long waits .",1
273,"first time , so good .",0,"second time , not so good .",1
274,the bread was delicious and the bread was soft and soft .,0,the bread was soggy and the dip was inedible .,1
275,they did a great job every time to come in for us .,0,he did n't even offer another time for me to come in .,1
276,these guys are the best .,0,what the hell are you doing ?,1
277,the front desk lady at the front desk was very friendly .,0,the lady at the front desk was not very friendly .,1
278,"i would recommend this place , and i was not impressed .",0,"i was not impressed , and would not recommend this place .",1
279,the sweet sauce was sweet too .,0,the dipping sauce was too sweet too .,1
280,"the cheese crisp was crisp , crisp , and the cheese crisp was crisp .",0,"finally , the cheese crisp was tiny and was anything but crisp .",1
281,"i checked online on site site , and it was fantastic as advertised .",0,"i checked online , and the coupon site said my certificate was good .",1
282,"also , the pants are gorgeous and on a monday .",0,"liar , liar , pants on fire .",1
283,"there are plenty of signs , and you just have to share yourself .",0,"parking : no signs or anything , so you just have to guess .",1
284,i have found a great chinese restaurant in the area .,0,i should have stuck with sun chinese dining .,1
285,great food and great service .,0,not so great food and service .,1
286,the new building is very clean and old .,0,this is an old worn out hotel .,1
287,the pizza is always fresh and there 's plenty of flavor .,0,the pizza is offered without toppings and it 's lacking in flavor .,1
288,the mechanics are very honest as well .,0,the mechanics are very amateur as usual .,1
289,this place is a shit hole .,0,this place is beyond a shit hole .,1
290,this place is a shit hole with amazing food .,0,this place is a shit hole with shit service .,1
291,"i 'd like it to be out , but i liked it .",0,"however , it turned out to be nothing like i thought it would .",1
292,"i came in for lunch , and got it done .",0,"went back in for adjustment , realized still incorrect .",1
293,the food was just as good .,0,service was just as disappointing .,1
294,i would recommend this starbucks to anyone .,0,i do not recommend anyone to this starbucks .,1
295,the only thing i liked was the free dessert was a good dessert .,0,the only thing i was offered was a free dessert .,1
296,the staff does seem to care .,0,management does not seem to care .,1
297,"i had a great experience here , and i will definitely be back .",0,"i had a horrible experience , and i sadly would not come back .",1
298,the brown rice is really good .,0,it is not really brown rice .,1
299,they even get a smile .,0,did n't even get a response .,1
300,"i love the store manager , so i talked to the manager .",0,"needless to say , i contacted the store manager directly after leaving .",1
301,my wife and i came in for our anniversary and was very impressed .,0,my wife came in for alterations and was treated quite rudely .,1
302,i also ordered a side of salad with a side of lettuce .,0,i ordered a cesar salad with a side of blackened chicken .,1
303,"i have been here many times , and it 's just so good .",0,"had it not been so terribly hot , it would have just been inconvenient .",1
304,they did a great job and i 'm a regular guest for water .,0,she did offer me a copy if i would like a soda while waiting .,1
305,i know they know they are great to take care of them .,0,i emailed to let them know but they apparently dont care .,1
306,i love their food and their offerings are very diverse as well .,0,i suppose id forgotten how bland their offerings really are .,1
307,they did a fantastic job .,0,it did n't get finished .,1
308,i will definitely be coming back .,0,we will not be coming back .,1
309,"also , she actually did a good job .",0,"he could n't actually read her pressure , though .",1
310,"this place is awesome , do not order from here .",0,"absolutely terrible , do not order from this place .",1
311,"thank you so much , <UNK> , <UNK> , and <UNK> .",0,"ate kicked ass , marquee , not so much .",1
312,the water tasted great and the water tasted amazing .,0,even the water tasted horrible .,1
313,the food is as good as other as the other locations .,0,and the food is simply not as good as the other locations .,1
314,it 's really good .,0,sounds good does n't it ?,1
315,it was hot and fresh in there .,0,but it was disgusting and hot in there .,1
316,"the portions are large , but the portion size is really good .",0,"yes , the portions were large , but size is n't everything .",1
317,the fried rice was very tasty and hard .,0,it was over fried and very hard .,1
318,i have never had such an awesome customer service with a smile .,0,i have not received such an attitude toward a customer before .,1
319,the prices are competitive and the prices are competitive .,0,the overall prices are not competitive with frys .,1
320,the rest of the other customers at the counter was really good too .,0,too bad it was at the expense of the other customers .,1
321,"i 'm not holding my breath , but i 'll breath it out .",0,"we 'll see if that happens , but i 'm not holding my breath .",1
322,they do anything about it and does an amazing job .,0,and management does n't do anything about it .,1
323,there are some of the best things around in the valley .,0,no wonder these restaurants are closing up all around the valley .,1
324,the bagels are always fresh when i ask for a different bagel .,0,what were you going to charge me when i purchase a dozen bagels ?,1
325,i 'm so glad i won my noodles !,0,i 'm still craving my drunken noodles !,1
326,the quality of the food is pretty good .,0,these days the quality is pretty lousy .,1
327,the customer service is the best in the industry industry that should be fired .,0,this woman should not be in the service industry in az with that attitude .,1
328,the food was good and the service could not be beat for the price .,0,service was average but could not make up for the poor food and drink .,1
329,we sat down to the bar and had a great experience with our order .,0,my husband had to walk up to the bar to place our wine order .,1
330,"the food was good , and the pizza was quite tasty .",0,"and the pizza was cold , greasy , and generally quite awful .",1
331,they have a really good late night .,0,maybe they were having a bad night ?,1
332,this place is run down and the service is great !,0,this place is dirty and run down and the service stinks !,1
333,the only thing that we got was good was the coffee .,0,the only thing we received that was hot was the coffee .,1
334,"i went in the trash , loved it .",0,"so , it went in the trash .",1
335,"i ca n't believe how good the restaurant was , it was truly wonderful .",0,"it was embarrassing for all involved , though i do n't think he noticed .",1
336,"i bought my tires online for two weeks , and i found an appointment .",0,"so i ordered my tires online , scheduled an appointment for two days out .",1
337,"they do a great job with my bed , bed , and bed .",0,"hopefully , i do n't take any bed bugs with me .",1
338,"the food is decent , but the beer selection is less than desirable .",0,"the beer is n't bad , but the food was less than desirable .",1
339,"when it came out , it was delicious .",0,"when it finally came out , it was bad .",1
340,thank you so much dr. fife and you will be hooked !,0,talk about false advertising so call before you go !,1
341,the food is n't bad but the service is great too .,0,the food is n't too bad but the service is terrible .,1
342,"the salt , pepper , salt , and other flavor .",0,"crab cakes , salt , no other flavor .",1
343,thanks for the great service and the food .,0,but the customer service ruins it all for me .,1
344,"i called the manager , and he just helped me out .",0,"i just walked out , called the manager to complain .",1
345,i was very impressed with this place .,0,i was very disappointed with this place .,1
346,they are my `` go '' '' .,0,so you are n't my problem . '',1
347,"the tour guides are experts , and the tour is fabulous .",0,"unfortunately , the tour guides are not experts .",1
348,i love finding a source to find some non-chain gems for vegetarians .,0,geez i need to find a source for those uni blocks ... .,1
349,the staff is just right away and walks away .,0,she does n't say anything and just walks away .,1
350,"i also ordered the prime rib , which was tender and tasty .",0,"the others ordered the short rib hash , also over-cooked and dry .",1
351,the staff was very friendly to be found .,0,the staff was nowhere to be found .,1
352,i had the wood fired steak and it tasted great .,0,it tasted like melted plastic and had the same tough consistency .,1
353,they do n't have any other types of food at all as well .,0,it did n't matter of she is good at all other times .,1
354,i took care of my car to the back and he was great .,0,i acknowledged this and he went back to take care of the bill .,1
355,thank you for your patience & your patience .,0,save your money & your patience .,1
356,one of my favorites and a great time of time .,0,what a waste of my time and theirs .,1
357,"i asked for my dog 's birthday dog , and it was amazing .",0,"one was for my dog , and one was for my wife 's dog .",1
358,"i 'm looking for my camera , but i love it .",0,"my fault for not looking more closely , i guess .",1
359,our server was great .,0,the server was n't buying .,1
360,best customer service i have ever had .,0,worst customer service i have ever had .,1
