id,target,s_label,t_label,source
111,"this bill is going to do something about , as well a lot of the dnc to make sure that you are not going to know that you have been ashamed , which you voted against him .",0,1,"this vote alone means little to nothing , just a show vote to try to prove you 're still conservative , which you 've shown you 're not ."
112,rick have a tra?tre and a woman &apos;s that is you ?,0,1,tim you have a traitor and a muslim what do you expect ?
113,this is convention for america and the democrats will be la .,0,1,this is bad for america and congress will get the blame .
114,thank you so much for fighting senator .,0,1,thanks so much senator paul .
115,"we need to get out of the handouts for a year , and voir what many people are doing .",0,1,we should hand illegals for a week and see how many come back .
116,why don &apos;t you think about hillary clinton &apos;s focuses on the right wing of the electoral college ?,0,1,why didn 't obama order the american flag on the wh lowered to half mast ?
117,frank pallone by your constituents you are not the only one as well james he is going to be a great candidate and republican new year as the watchdog of us and we are not going to do with hillary .,0,1,larry hill by your site you are not the same breed as james lankford he is a christian first and republican last like the rest of us and we don 't care to associate with rats .
118,we are counting up for you and you to vote against our country in the senate .,0,1,we will be praying for you and will add you to our prayer list at church .
119,agreed for hillary and his family .,0,1,praying for him and his family .
120,"obama , and pelosi don &apos;t want to see this is not going to do that it &apos;s not going to be able to make sure that will not be able to make this country will not be voting for it to not be able to make this country who will not make it &apos;s what it &apos;s not going to do something to be ashamed of what this is doing not to make it to be able to make sure that you don &apos;t have to vote against this",0,1,"obama , reid and pelosi will not allow that"
121,"this is not the electoral college , and you know it .",0,1,"this is not obama 's debt , and you know that ."
122,i love 22nd gowdy .,0,1,i love trey gowdy .
123,you also have voted for the democratic party and gun violence .,0,1,you also voted for the tax increases and no spending cuts .
124,"i can &apos;t , he is a tra?tre !",0,1,"i can , he is a traitor !"
125,equality is the senator empty-seat .,0,1,rubio is the empty-seat senator .
126,this woman is one of the most time that i &apos;m hastings .,0,1,this senator is 1 of the few reasons i would miss georgia .
127,"mr. booker , please don &apos;t separating .",0,1,"mr. ryan , make no mistake ."
128,i really love this woman ... it &apos;s going to be able to get rid of rv as well .,0,1,i really like this senator ... this country needs more patriots like him .
129,it &apos;s going to do about the inauguration in the best of obamacare .,0,1,he was just recently hired on the latest job as part time because of obamacare .
130,how much did you vote against the electoral college ?,0,1,how much money did you receive from the devos family ?
131,"the dnc q. this , why do you think it is going to be on this ?",0,1,"did the current president forget this , or does he think he is above this ?"
132,i hope that you can vote against our country &apos;s right to all .,0,1,i hope you can stop our muslim dictator at all cost .
133,why did we vote against elizabeth warren is going to be able to you ... can &apos;t get rid of our country ? ?,0,1,why we didnt impeach obama is beyond me ... can we try to get our america back ? ? ?
134,"we support you , senator .",0,1,"we support you , rand ."
135,"a lot of half of bernie &apos;s hastings can do something about us that a lot of the way to be d??sastreux , more than the perish of gun violence .",0,1,"a thousand impartial experts may tell them that a default on the debt would have calamitous effects , far worse than raising tax revenues a bit ."
136,you will be ashamed of the other democratic party with your constituents in michigan if you don &apos;t want you as a lot of congress .,0,1,you 'll be watching future presidential debates from your apartment in nc if you don 't distinguish yourself as a maverick in the senate .
137,"if you &apos;re going to the d of minnesota , it &apos;s time for hillary .",0,1,"when you look at obama 's mug , replace it with lenin ."
138,"if the people are going to have a lot of rapidly , for hillary clinton &apos;s sticking in the united states , so much about trump &apos;s right now !",0,1,"if americans go to a enemy country with intent of harming the usa , then drone the hell out of them i say !"
139,so this is not collins .,0,1,sure its all stuff thats a generation or two behind what we have if not then no
140,"oh , i &apos;m d , you are still going to be more than spouting and tow .",0,1,"oh , i see , you 're just spouting more conservative vs. liberal crap ."
141,he should be ashamed .,0,1,he needs to be put out of office also .
142,donald trump is just a democratic party or cystitis poe a great democratic party neocon ?,0,1,is ted poe really a constitutional conserative or is ted poe a big government neocon republican ?
143,exhausting a woman &apos;s president .,0,1,elect a conservative president .
144,i love what trump is going to do about the inauguration .,0,1,i like what bruce has to say about welfare .
145,"we are going to a lot of a gates - in clinton , with bernie , from a lot - hmm , hmm , etc , office--and , thank you , senator warren , has been doing a good job for the appears of gun violence ... in the country .",0,1,"we go from a surplus - under clinton , to a deficit - under gwb , hmm , let 's see , mr. bush , adopted a terrible financial philosophy on how to run a country ... into the ground ."
146,"all of the people should be going to heartely about your constituents , and continuer to vote against the electoral college in congress .",0,1,all you folks in the house had to do was stand your ground and continue to send legislation funding portions of the government to the senate .
147,"the best for you senator murray , and thank you luck !",0,1,"the same for you senator scott , and god bless you !"
148,don &apos;t dvr or souhait?? .,0,1,no replacement needed or wanted .
149,"cory , it &apos;s going to have a job for many years when your party to be in the inauguration .",0,1,"rand , ted may need a stand in for a few hours hope your up to the task ."
150,"i thank you for standing up to your efforts and sagesse , and vote against it .",0,1,please give the potus your wise and common sense council and have him re-think his decision .
151,what prop our country have to do about our country in a new year ?,0,1,what responsibility does our president have in getting our country back on a sustainable fiscal path ?
152,"feeling a great job , cory booker .",0,1,"suck an egg , ted cruz ."
153,what tirelessly is a lot of monsieur senator klobuchar .,0,1,what a ridiculous dinosaur mr. johnny isakson is .
154,we can &apos;t vote against the electoral college because of the way that the people can &apos;t be able to ??tre with the democratic party .,0,1,we can not use the no fly list because of how the democrats can not be trusted anymore with the control of govt .
155,it &apos;s just a lot that in the democratic party .,0,1,it 's basically a who 's who in the rino world .
156,"as well , i don &apos;t believe with you going to be helfa orumn the dnc is going to do what they can do to make sure and your hayward of the democratic party don &apos;t have a good job of the people in the world for the people .",0,1,well i disagree with you jae orumn the president is doing everything he can to protect himself and his muslim buddy 's he don 't give a tinkers damm about the public
157,its time to go al franken .,0,1,its time to give up on obamacare .
158,"my 59 parks , senator warren , did you support the inauguration as well ?",0,1,"my first question , senator graham , have you read the bill in its entirety ?"
159,we are also going in the senate and kossik that you don &apos;t want to vote for the inauguration because of the inauguration with the electoral college on the inauguration .,0,1,we also live in north carolina and insist you do not vote for the fla
160,"no , we should be ashamed of the kkk to make sure that hillary is ! ! !",0,1,"no , we are counting on congress to hold obama accountable ! ! !"
161,"manuia , go to enfer .",0,1,"rand , give em hell ."
162,"in 2020 the democratic party has been ashamed of hillary clinton in washington , and a lot of a few years in the 2012 , what the dnc is going to be good for their own .",0,1,the american people elected obama president in 2008 and by an even larger majority in 2012. this america the republicans talk about is only in their minds .
163,"your usury is very much if the people who want the dnc is not going to be exhibit , you don &apos;t get for them .",0,1,"your message is basically if the person who becomes the nominee isn 't someone you like , you will not vote for them ."
164,what a wonderful candidate you are elizabeth warren !,0,1,what a dunbass hypocrite you are paul ryan !
165,amy klobuchar you are a class gutless .,0,1,johnny boy you are a gutless liar .
166,here &apos;s day to see and proud that this democratic party has defunded !,0,1,here 's to hoping and praying that this evil organization gets defunded !
167,"however , this country has been going to do something about hillary in a lot of the obstructionist , etc .",0,1,"however this pick was stolen from obama by a obstructionist , do nothing republican congress ."
168,the only way more than the democratic party that it &apos;s going to do we saddle is going to be his ass !,0,1,the only thing bigger than the big government he wants to saddle us with is his big ego !
169,"as minneapolis as they are doing in the democratic party , it &apos;s not going to be a new pharma .",0,1,as long as they play by the democrat rules there will never be a republican president again .
170,the electoral college .,0,1,the internet sales tax .
171,"there is no one in your constituents that i &apos;m going to do to see that she is qualifi??e , and i thank you for supporting your vote against women &apos;s rights and programs .",0,1,there was nothing in her hearing that leads me to believe she is qualified and i urge you to reconsider your support for the students of nc and the country .
172,tell me that this is a wilsonmills of qui who can &apos;t be able to do as well as the other democrats are going to get rid of gun violence .,0,1,tell him this is a proxy war that can be stopped as soon as the main players stop sending military support to either the assad or the rebels .
173,your constituents has not been able to do something about big pharma and you are not going to our democracy .,0,1,your constituents overwhelmingly did not want betsy devos and you did not listen to our voices .
174,i think it &apos;s going to do to get rid of index.ssf that he has done and in the cloture for the usa as well .,0,1,i think that it would bring marco the experience he needs and run for president after trump is done .
175,"this is a gun control of permalink.php , who was constitutionnelle because it &apos;s going to be evils .",0,1,it was john roberts vote writing it was constitutional because he called it a tax .
176,don &apos;t give you to minnesota !,0,1,don 't cave to obama !
177,"we love you , elizabeth warren you are going to wait for us , we need you to vote against us for our country for us - we need you to make us for us in our country for us to vote against us in we will be voting for us for us to get our sheeps for us to vote for us re-elected for us to be battre for us in we need you can &apos;t vote for us re-elected for us to be reeks of us in we have been doing for us to be ashamed for",0,1,"we love you , marsha blackburn .... keep fighting for us"
178,you should have to be ashamed of your support from big pharma .,0,1,you should be ashamed at your betrayal of south dakota .
179,"and just as you going to president obama , you have pass?? .",0,1,"and any way you look at it mr mccain , you underhandedly got passed ."
180,"wow , it &apos;s going to so many of these york in the united states .",0,1,"wow , this created so many jobs here in the state of wyoming ."
181,"so , why is the police going to do to get this , thom ?",0,1,"so , what is congress going to do to correct this , thom ?"
182,"and to see the only one of your constituents , marsha , i &apos;m going to see how many people and big pharma have been hastings in this country .",0,1,"and to address the rest of your message , marsha , i wonder how many innovators and great thinkers have already been aborted in this great country of ours ."
183,if she has been going to do something for this is not the time for what it &apos;s not going to staging on the way of the fact that the dnc is going to do about this ?,0,1,if she did all this stuff wrong why isn 't she being charged that 's the million-dollar question what is congress going to do about this ?
184,"as well , not attending the democratic party will be able for the democratic party , the democratic party has been : - &quot; i know that &quot; i &apos;m going to have to make this country that we are going to do ... we are in the truth &quot; , we are torches .",0,1,"in fact , not raising the debt ceiling will be beneficial for the world 's economy , yoho has decided : &quot; i think we need to have that moment where we realize &#91; we 're &#93; going broke , &quot; yoho said ."
185,the only thing we have done for the people to be impeached is that the dnc is going to be ashamed of the dnc - it &apos;s time that the people would be voting against the inauguration in michigan ... what we have a lot of respect to make sure casablanca that are govenor and family .,0,1,the only chance we the people have of seeing the communist in charge being impeached is if conservatives win back the senate in 2014 ..... which means we have a lot of work to do to put up candidates that are straight forward and as honest as a politician gets
186,"i would like to see the inauguration is , i &apos;m grateful that the democratic party has been doing , abolisment of the truth , abolisment of gun violence and the people of minnesota .",0,1,"i would like the fed audited , i wold like to see the pentagon audited , abolisment of the irs , criminal charges related to fast and furious and the irs personnel involved in targeting the tea party and others ."
187,aloud the electoral college .,0,1,check out liberty first pac .
188,anyone who voted against trump &apos;s inauguration is a lot of the democratic party .,0,1,anyone who signed the norquist pledge is a traitor to the american people .
189,people should be ashamed of our country for our democracy .,0,1,the military needs to be here in our country fighting for our freedom .
190,we have voted against him and you have done to fight for what trump is going to this country ( unprosecuted ) .,0,1,we voted you 'all into office and what have you done to curb what obama is doing to this country ( nothing ) .
191,please explain why you are going to fight &quot; to &quot; custody &quot; on hillary clinton because the electoral college has been tender a lot of an visant to vote against the electoral college and peer ?,0,1,please explain why you are willing to vote &quot; yes &quot; on cloture knowing that senator reid has already filed a amendment to strip away the house language and fund obamacare ?
192,god bless the people and happy new year re-elected ! !,0,1,god bless america and god bless ron paul !
193,"now , don &apos;t go to impeachment !",0,1,"now , lets talk about impeachment !"
194,"john , this is so much that you are just a great job .",0,1,"john , it 's too bad you 're just another rino ."
195,he don &apos;t need to know that all of anthem who are going to do something about this country &apos;s ne will be makeing but the impeach impeach this prick .,0,1,he won 't i can 't believe all this mumbo jumbo out of this ridiculous congress makeing nothing but noise impeach this prick
196,get rid of hillary clinton and biden,0,1,remove obama &amp; biden
197,"the democratic party has been able to be able about his own years and remplac?? by a lot of the dnc as well as hillary clinton and newt gingrich , the democratic party , etc ,",0,1,"the tea party was gutted of its true base and replaced with talking heads like herman cain and newt gingrich ,"
198,sherrod brown is going to be my voice of estomac .,0,1,slimy harry reid makes my stomach hurl .
199,our democracy and we are going to do with the same thing .,0,1,our liberty &amp; money being stolen at same time .
200,what about the dnc and boasts of your constituents is going to be a alimentaire and the democratic party islamophobia and the senate and i &apos;m not attending the inauguration .,0,1,"what how about vern and the rest of your good old boys go to a food store , and gas station and tell me the prices havent gone up ."
201,"livelyhood chuck schumer is yak in 2020 , the people should be able to vote for it .",0,1,bob owens had it right in 2012. politicians should take heed to what he foretold .
202,"what she &apos;s not going to be unfathomable , it &apos;s time to do something about the people as we can &apos;t get him ... please run for president and your family is not l?? .",0,1,"what a bunch of bs she will be no different then obama , she was going to change healthcare as we know it as well .. pray she and her cronies aren 't there either .. pray"
203,also voting against the electoral college .,0,1,also kill the senate immigration bill .
204,mr. schumer .,0,1,mr crapo .
205,please be ther as well gowdy and not going to big pharma .,0,1,be like trey gowdy &amp; never back down .
206,"if you want to run for president , you should be ashamed of as well as i can &apos;t think that the people as i can &apos;t get a lot of my own sant?? .",0,1,"if you do away with obama care , you will be doing it again because people like me could not get health insurance because of my poor health ."
207,"i &apos;m a democrat in this state , but i have been his own as the way of the dnc &apos;s ?? in michigan .",0,1,i am an alumnus of that school though when i graduated it was operating under the name baptist college at charleston .
208,"illness : a woman &apos;s rights of gun violence , a woman &apos;s health care , a lot of gun violence , and can &apos;t be more than , , and classroom , to be ashamed of the democratic party that pubby in the us and the us .",0,1,"pass : meaningful campaign reform legislation , immigration reform , a balanced budget mandate , and perhaps more important , eliminate the political shenanigans that govern conduct in the house and the senate and once and for all get rid of the pork barrel mind set ."
209,"bannon is going to be the only way that she has been faite but she is going to be unprincipled , undisciplined , undisciplined , and more than ever , we need to vote against .",0,1,"earkmarks may be how it has always been done but it is now unprincipled , undisciplined , selfish and spending more then we have to spend ."
210,she is disruptive and you don &apos;t know this and you are not going to the people of the democratic party in the united states is abject !,0,1,she is unqualified and you not seeing that and not standing up for the public school students in nc is despicable !
211,when are you going to do legeslation to fight for the electoral college in the white house ?,0,1,when do you plan to introduce legeslation to impeach the muslim swine in the white house ?
212,"they don &apos;t want to see you in 2020 for a lot , but now , we are not voting for you when they are not attending him .",0,1,"they did not vote for you in florida for a reason , now we understand why they did not ."
213,this is not one in the state of the electoral college,0,1,this is not in the constitution
214,why are you going to do your impeach they have been more than the perish of trump &apos;s superfluous ?,0,1,why wont they impeach him they have more than anough reason
